NOME,ANO_INGRESSO_2021,FASE_2021,NIVEL_IDEAL_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,REC_AVA_UNIFICADO,DEFASAGEM_2021
ALUNO-1099,2021.0,1.0,1,Topázio,10.0,5.9,9.6,10.0,6.3,8.1,8.9,8.331,0,Mantido na Fase atual,0.0
ALUNO-1103,2016.0,2.0,4,Quartzo,5.0,3.3,2.9,0.0,5.6,6.0,5.5,4.0,0,Mantido na Fase atual,-2.0
ALUNO-1104,2021.0,1.0,2,Ametista,5.0,3.6,7.9,9.5,7.5,7.9,7.9,6.889,0,Mantido na Fase atual,-1.0
ALUNO-1105,2016.0,2.0,3,Ágata,5.0,5.5,6.3,9.5,6.3,7.3,7.3,6.621,0,Mantido na Fase atual,-1.0
ALUNO-1107,2021.0,2.0,3,Ametista,5.0,8.0,9.6,10.0,7.5,7.5,8.5,8.217,0,Promovido de Fase,-1.0
ALUNO-1110,2019.0,2.0,2,Ágata,10.0,5.1,5.4,9.0,7.5,6.5,7.3,6.871,0,Mantido na Fase atual,0.0
ALUNO-1112,2018.0,7.0,7,Ametista,10.0,6.5,7.2,8.3,6.3,7.8,6.3,7.242,0,Promovido de Fase + Bolsa,0.0
ALUNO-1114,2021.0,3.0,3,Ágata,10.0,6.5,4.4,7.5,7.5,6.9,5.0,6.376,0,Mantido na Fase atual,0.0
ALUNO-1115,2021.0,1.0,3,Quartzo,5.0,0.4,1.7,0.0,6.9,7.1,6.7,3.638,0,Mantido na Fase atual,-2.0
ALUNO-1117,2021.0,0.0,0,Ametista,10.0,6.8,8.3,9.5,0.0,7.5,7.0,7.129,0,Mantido na Fase atual,0.0
ALUNO-1119,2019.0,2.0,1,Ametista,10.0,5.6,5.8,10.0,7.5,7.1,8.2,7.383,0,Mantido na Fase atual,1.0
ALUNO-1122,2021.0,4.0,4,Ametista,10.0,8.4,5.8,8.8,7.5,7.8,8.3,7.906,0,Promovido de Fase,0.0
ALUNO-1123,2021.0,4.0,6,Ametista,5.0,7.5,8.6,7.5,6.3,8.3,8.5,7.634,0,Promovido de Fase,-2.0
